country,country_code,province,province_code,district,district_code,ward,ward_code
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Phúc Xá,1
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Trúc Bạch,4
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Vĩnh Phúc,6
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Cống Vị,7
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Liễu Giai,8
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Nguyễn Trung Trực,10
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Quán Thánh,13
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Hà,16
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Điện Biên,19
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Đội Cấn,22
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Khánh,25
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Kim Mã,28
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Giảng Võ,31
Việt Nam,VN,Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Thành Công,34
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phúc Tân,37
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Đồng Xuân,40
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Mã,43
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Buồm,46
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Đào,49
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bồ,52
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Đông,55
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Lý Thái Tổ,58
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bạc,61
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Gai,64
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Chương Dương,67
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Trống,70
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Nam,73
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bông,76
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Tràng Tiền,79
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Trần Hưng Đạo,82
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phan Chu Trinh,85
Việt Nam,VN,Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bài,88
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Phú Thượng,91
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Nhật Tân,94
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Tứ Liên,97
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Quảng An,100
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Xuân La,103
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Yên Phụ,106
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Bưởi,109
Việt Nam,VN,Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Thụy Khuê,112
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Thượng Thanh,115
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Ngọc Thụy,118
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Giang Biên,121
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Đức Giang,124
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Việt Hưng,127
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Gia Thụy,130
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Ngọc Lâm,133
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Phúc Lợi,136
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Bồ Đề,139
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Sài Đồng,142
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Long Biên,145
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Thạch Bàn,148
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Phúc Đồng,151
Việt Nam,VN,Thành phố Hà Nội,1,Quận Long Biên,4,Phường Cự Khối,154
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Nghĩa Đô,157
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Nghĩa Tân,160
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Mai Dịch,163
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Dịch Vọng,166
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Dịch Vọng Hậu,167
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Quan Hoa,169
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Yên Hoà,172
Việt Nam,VN,Thành phố Hà Nội,1,Quận Cầu Giấy,5,Phường Trung Hoà,175
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Cát Linh,178
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Văn Miếu,181
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Quốc Tử Giám,184
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Láng Thượng,187
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Ô Chợ Dừa,190
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Văn Chương,193
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Hàng Bột,196
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Láng Hạ,199
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Khâm Thiên,202
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Thổ Quan,205
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Nam Đồng,208
Việt Nam,VN,Thành phố Hà Nội,1,Quận Đống Đa,6,Phường Trung Phụng,211
